2025-08-23 21:02:44,209 | market_intelligence       | ERROR    | market_intelligence.py:656 | _analyze_competitors | Error analyzing competitors: Request URL is missing an 'http://' or 'https://' protocol. | None
2025-08-23 21:02:44,210 | market_intelligence       | ERROR    | market_intelligence.py:744 | _identify_market_opportunities | Error identifying opportunities: Request URL is missing an 'http://' or 'https://' protocol. | None
2025-08-23 21:02:44,211 | market_intelligence       | ERROR    | market_intelligence.py:937 | _analyze_industry_trends | Error analyzing trends: Request URL is missing an 'http://' or 'https://' protocol. | None
2025-08-23 21:02:44,212 | market_intelligence       | ERROR    | market_intelligence.py:1008 | _get_funding_intelligence | Error getting funding intelligence: Request URL is missing an 'http://' or 'https://' protocol. | None
2025-08-23 21:02:44,212 | technology_intelligence   | ERROR    | technology_intelligence.py:1332 | _monitor_tech_changes | Error monitoring tech changes: Request URL is missing an 'http://' or 'https://' protocol. | None
2025-08-23 21:02:44,290 | technology_intelligence   | ERROR    | technology_intelligence.py:1013 | _track_funding_rounds | Error tracking funding rounds: Request URL is missing an 'http://' or 'https://' protocol. | None
2025-08-23 21:02:44,291 | technology_intelligence   | ERROR    | technology_intelligence.py:1257 | _analyze_tech_adoption | Error analyzing tech adoption: Request URL is missing an 'http://' or 'https://' protocol. | None
2025-08-23 21:02:44,292 | technology_intelligence   | ERROR    | technology_intelligence.py:1490 | _map_technology_landscape | Error mapping technology landscape: Request URL is missing an 'http://' or 'https://' protocol. | None
2025-08-23 21:03:11,434 | market_intelligence       | ERROR    | market_intelligence.py:656 | _analyze_competitors | Error analyzing competitors: Request URL is missing an 'http://' or 'https://' protocol. | None
2025-08-23 21:03:11,435 | market_intelligence       | ERROR    | market_intelligence.py:744 | _identify_market_opportunities | Error identifying opportunities: Request URL is missing an 'http://' or 'https://' protocol. | None
2025-08-23 21:03:11,436 | market_intelligence       | ERROR    | market_intelligence.py:937 | _analyze_industry_trends | Error analyzing trends: Request URL is missing an 'http://' or 'https://' protocol. | None
2025-08-23 21:03:11,437 | market_intelligence       | ERROR    | market_intelligence.py:1008 | _get_funding_intelligence | Error getting funding intelligence: Request URL is missing an 'http://' or 'https://' protocol. | None
2025-08-23 21:03:11,437 | technology_intelligence   | ERROR    | technology_intelligence.py:1332 | _monitor_tech_changes | Error monitoring tech changes: Request URL is missing an 'http://' or 'https://' protocol. | None
2025-08-23 21:03:11,438 | technology_intelligence   | ERROR    | technology_intelligence.py:1013 | _track_funding_rounds | Error tracking funding rounds: Request URL is missing an 'http://' or 'https://' protocol. | None
2025-08-23 21:03:11,544 | technology_intelligence   | ERROR    | technology_intelligence.py:1257 | _analyze_tech_adoption | Error analyzing tech adoption: Request URL is missing an 'http://' or 'https://' protocol. | None
2025-08-23 21:03:11,544 | technology_intelligence   | ERROR    | technology_intelligence.py:1490 | _map_technology_landscape | Error mapping technology landscape: Request URL is missing an 'http://' or 'https://' protocol. | None
